match_id,home_team,away_team,st_home,goals_home,corners_home,st_away,goals_away,corners_away,st_avg,corners_avg,goals_avg,st_kpp,corner_kpp,goals_kpp,which_team,st_kpp_home,st_kpp_away,goals_kpp_home,goals_kpp_away,corner_kpp_home,corner_kpp_away,modified_result,final_result,home_kpp_score,away_kpp_score,normalized_home_kpp_score,normalized_away_kpp_score
83,Swansea,Leicester,0.428571429,1,0.5,0.571428571,0,0.5,0.571428571,0.5,0,0.330952381,0.553921569,0.166666667,Leicester,0.476851852,0.330952381,0.444444444,0.166666667,0.488636364,0.553921569,1,1,1.40993266,1.051540617,0.572800311575351,0.427199688424649
84,West Brom,Crystal Palace,0.4,0.5,0.666666667,0.6,0.5,0.333333333,0.4,0.666666667,0.5,0.445286195,0.444444444,0.611111111,West Brom,0.445286195,0.600529101,0.611111111,0.444444444,0.444444444,0.546153846,0,0,1.50084175,1.591127391,0.485399977023898,0.514600022976103
85,West Ham,Man City,0.444444444,0.666666667,0.333333333,0.555555556,0.333333333,0.666666667,0.555555556,0.666666667,0.333333333,0.684011164,0.718614719,0.822222222,Man City,0.579365079,0.684011164,0.694444444,0.822222222,0.58496732,0.718614719,1,1,1.858776843,2.224848105,0.455178148500233,0.544821851499767
86,Burnley,Everton,0.333333333,0.25,0.555555556,0.666666667,0.75,0.444444444,0.333333333,0.555555556,0.25,0.327777778,0.277777778,0.25,Burnley,0.327777778,0.55042735,0.25,0.411111111,0.277777778,0.475980392,0,-1,0.855555556,1.437518853,0.373104140293949,0.626895859706051
87,Man United,Chelsea,0.636363636,0.5,0.363636364,0.363636364,0.5,0.636363636,0.636363636,0.363636364,0.5,0.535449736,0.68627451,0.611111111,Man United,0.535449736,0.814814815,0.611111111,0.888888889,0.68627451,0.572727273,0,0,1.832835357,2.276430977,0.446024961155511,0.553975038844489
88,Tottenham,Newcastle,0.5,0.333333333,0.833333333,0.5,0.666666667,0.166666667,0.5,0.166666667,0.666666667,0.481481482,0.557189543,0.5,Newcastle,0.446616541,0.481481482,0.566666667,0.5,0.496031746,0.557189543,0,-1,1.509314954,1.538671025,0.495184349402809,0.504815650597191
89,QPR,Aston Villa,0.4,1,0.333333333,0.6,0,0.666666667,0.4,0.333333333,1,0.409090909,0.509259259,0.244444444,QPR,0.409090909,0.162037037,0.244444444,0,0.509259259,0.251082251,1,1,1.162794612,0.413119288,0.737854150534493,0.262145849465507
90,Arsenal,Burnley,0.866666667,1,0.947368421,0.133333333,0,0.052631579,0.866666667,0.947368421,1,0.439102564,0.666666667,0.5,Arsenal,0.439102564,0.355555556,0.5,0.333333333,0.666666667,0.407407407,1,1,1.605769231,1.096296296,0.594274718712253,0.405725281287747
91,Chelsea,QPR,0.888888889,0.666666667,0.866666667,0.111111111,0.333333333,0.133333333,0.111111111,0.133333333,0.333333333,0.481818182,0.509259259,0.466666667,QPR,0.63973064,0.481818182,0.722222222,0.466666667,0.512121212,0.509259259,1,1,1.874074074,1.457744108,0.562477893939292,0.437522106060708
92,Everton,Swansea,1,0.5,1,0,0.5,0,0,0,0.5,0.536375661,0.625,0.611111111,Swansea,0.578205128,0.536375661,0.611111111,0.611111111,0.327170868,0.625,0,0,1.516487107,1.772486772,0.461082137709492,0.538917862290508
93,Hull,Southampton,0.25,0,0.636363636,0.75,1,0.363636364,0.75,0.363636364,1,0.670634921,0.484848485,0.666666667,Southampton,0.412087912,0.670634921,0.666666667,0.666666667,0.176068376,0.484848485,0,-1,1.254822955,1.822150073,0.407810839933043,0.592189160066957
94,Leicester,West Brom,0.625,0,0.727272727,0.375,1,0.272727273,0.625,0.727272727,0,0.473809524,0.553921569,0.166666667,Leicester,0.473809524,0.328619529,0.166666667,0.444444444,0.553921569,0.388888889,0,-1,1.19439776,1.161952862,0.506884564991534,0.493115435008466
95,Newcastle,Liverpool,0.5,1,0.777777778,0.5,0,0.222222222,0.5,0.222222222,0,0.554112554,0.551851852,0.588888889,Liverpool,0.564814815,0.554112554,0.722222222,0.588888889,0.33496732,0.551851852,1,1,1.622004357,1.694853295,0.489018380400486,0.510981619599514
96,Stoke,West Ham,0.75,0.5,0.818181818,0.25,0.5,0.181818182,0.75,0.818181818,0.5,0.444444444,0.357323232,0.305555556,Stoke,0.444444444,0.537037037,0.305555556,0.805555556,0.357323232,0.5,0,0,1.107323232,1.842592593,0.37537451835596,0.62462548164404
97,Aston Villa,Tottenham,0.125,0.333333333,0.25,0.875,0.666666667,0.75,0.125,0.25,0.333333333,0.325,0.412698413,0,Aston Villa,0.325,0.479949875,0,0.511111111,0.412698413,0.690476191,0,-1,0.737698413,1.681537177,0.3049303738955,0.6950696261045
98,Man City,Man United,0.75,1,0.636363636,0.25,0,0.363636364,0.75,0.636363636,1,0.687378168,0.698412698,0.711111111,Man City,0.687378168,0.604713805,0.711111111,0.555555556,0.698412698,0.670231729,1,1,2.096901977,1.83050109,0.533915653990092,0.466084346009908
99,Crystal Palace,Sunderland,0.125,0.25,0.846153846,0.875,0.75,0.153846154,0.125,0.846153846,0.25,0.514814815,0.490598291,0.277777778,Crystal Palace,0.514814815,0.277777778,0.277777778,0.25,0.490598291,0.560606061,0,-1,1.283190884,1.088383839,0.541071243320044,0.458928756679956
100,Burnley,Hull,0.75,1,0.875,0.25,0,0.125,0.75,0.875,1,0.266666667,0.341617934,0.166666667,Burnley,0.266666667,0.328754579,0.166666667,0.333333333,0.341617934,0.234343434,1,1,0.774951268,0.896431346,0.463658806492766,0.536341193507234
101,Liverpool,Chelsea,0.444444444,0.333333333,0.416666667,0.555555556,0.666666667,0.583333333,0.444444444,0.416666667,0.333333333,0.508658009,0.459259259,0.366666667,Liverpool,0.508658009,0.602693603,0.366666667,0.611111111,0.459259259,0.634343434,0,-1,1.334583935,1.848148148,0.41932022557866,0.580679774421339
102,Man United,Crystal Palace,0.833333333,1,0.733333333,0.166666667,0,0.266666667,0.833333333,0.733333333,1,0.554713805,0.575757576,0.333333333,Man United,0.554713805,0.389814815,0.333333333,0.361111111,0.575757576,0.593162393,1,1,1.463804714,1.344088319,0.521317833976049,0.478682166023951
103,QPR,Man City,0.4,0.5,0.5,0.6,0.5,0.5,0.4,0.5,0.5,0.352188552,0.414814815,0.577777778,QPR,0.352188552,0.645711501,0.577777778,0.711111111,0.414814815,0.577200577,0,0,1.344781145,1.934023189,0.410143762180351,0.589856237819649
